contrast_id,dataset,task,metric,first,second,seed,fold_id,window_length,a,b,delta
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,0,0,16,0.5126215611917225,0.5075591519138675,0.005062409277855062
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,0,1,16,0.0818713450292397,0.0818713450292397,0.0
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,0,2,16,0.5899413660375246,0.5942693797542045,-0.0043280137166799015
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,0,3,16,0.2859090605963745,0.2580540692762602,0.02785499132011432
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,0,4,16,0.1001368368260906,0.1001792267314928,-4.2389905402187567e-05
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,1,0,16,0.0565459614968656,0.1184258256291407,-0.06187986413227509
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,1,1,16,0.1115037298782881,0.1123529411764705,-0.0008492112981823979
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,1,2,16,0.1715696018021599,0.1576107080965852,0.01395889370557471
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,1,3,16,0.6505643187151332,0.6518887459798044,-0.0013244272646711908
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,1,4,16,0.3914540092107753,0.3840767598451423,0.0073772493656329985
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,2,0,16,0.4958495583071866,0.5093220952727113,-0.01347253696552475
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,2,1,16,0.1709515661687565,0.0906409372846313,0.08031062888412521
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,2,2,16,0.5941756794007946,0.5079074061572739,0.08626827324352071
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,2,3,16,0.1048327137546468,0.0996640537513997,0.0051686600032471025
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,2,4,16,0.3279007143351571,0.4302132521916582,-0.10231253785650107
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,3,0,16,0.1066772026866851,0.1005586592178771,0.0061185434688079965
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,3,1,16,0.5204568054043203,0.6255109754086956,-0.10505417000437534
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,3,2,16,0.1143096015761857,0.1445394616242332,-0.030229860048047508
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,3,3,16,0.6570674304911018,0.6227287690957779,0.03433866139532393
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,3,4,16,0.3050467167998437,0.3359660061890905,-0.030919289389246818
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,4,0,16,0.3894883510117702,0.4031627138518623,-0.013674362840092102
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,4,1,16,0.0818713450292397,0.0834326579261025,-0.0015613128968627876
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,4,2,16,0.1154870624048706,0.1153398058252427,0.00014725657962789962
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,4,3,16,0.3194406742172129,0.347542670572839,-0.028101996355626102
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,4,4,16,0.2464093917821905,0.2480399033590523,-0.0016305115768617817
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,5,0,16,0.1346856818780112,0.1820938994994948,-0.04740821762148362
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,5,1,16,0.1537421361747568,0.2032338223119273,-0.049491686137170504
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,5,2,16,0.2717268359023881,0.194136588873431,0.07759024702895712
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,5,3,16,0.4594852753715976,0.4840495376339241,-0.024564262262326497
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,5,4,16,0.0077319587628865,0.1701237439824238,-0.16239178521953732
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,6,0,16,0.3328751043799008,0.3331286111808291,-0.0002535068009282826
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,6,1,16,0.0420560747663551,0.2150773338919205,-0.17302125912556537
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,6,2,16,0.3064874091528503,0.3352295409181637,-0.028742131765313428
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,6,3,16,0.2807877793521764,0.2670074958445211,0.013780283507655311
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,6,4,16,0.0740418118466899,0.028616102301542,0.045425709545147894
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,7,0,16,0.3948497793766335,0.3937820328966794,0.0010677464799541125
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,7,1,16,0.1983546617915905,0.1960694698354662,0.0022851919561243106
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,7,2,16,0.2467232591614999,0.1640522627119248,0.0826709964495751
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,7,3,16,0.2947128959280392,0.2940044391069645,0.0007084568210746767
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,7,4,16,0.3303686955286266,0.3483321887552628,-0.017963493226636207
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,8,0,16,0.5773952993012779,0.6175260282061588,-0.0401307289048809
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,8,1,16,0.1177606177606177,0.1231343283582089,-0.005373710597591189
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,8,2,16,0.2880110843877444,0.1578004891684137,0.13021059521933073
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,8,3,16,0.444844638850312,0.4440686150990446,0.0007760237512673962
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,8,4,16,0.1197263397947548,0.1015473887814313,0.018178951013323508
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,9,0,16,0.0821917808219178,0.0896286811779769,-0.007436900356059095
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,9,1,16,0.4491897917257261,0.4546832797161144,-0.0054934879903882905
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,9,2,16,0.1153557345838864,0.1162790697674418,-0.0009233351835554043
R0_vs_R2,d2_beef_uncontrolled,classification,macro_f1,R0,R2,9,3,16,0.4902360864382316,0.5677958564435104,-0.0775597700052788
