dataset,model,task,n_ok,decision_metric,direction,mean,std,n_folds,ci95_low,ci95_high,status,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,auroc_mean,auroc_std,auroc_n,accuracy_mean,accuracy_std,accuracy_n,n_auroc_defined,n_auroc_undefined,rmse_mean,rmse_std,rmse_n,r2_mean,r2_std,r2_n
d2_beef_uncontrolled,R0,classification,50,macro_f1,maximize,0.2824004863452009,0.1797178205509903,5,0.22347743913186183,0.3470848071310179,ok,0.34166579321946167,0.16155377150592984,50.0,0.5756102486984909,0.14281039148887711,50.0,0.3795337995337995,0.20065819219229483,50.0,50,0,,,,,,
d2_beef_uncontrolled,R0,regression,50,mae,minimize,2.272198906245435,3.2480990987822356,5,1.4636235027061162,3.109704502691599,ok,,,,,,,,,,0,50,2.6182383338960693,3.6983858854146425,50.0,-26.828679243140726,84.14986198392049,50.0
d2_beef_uncontrolled,R1,classification,50,macro_f1,maximize,0.28790878574133955,0.1796615928002213,5,0.23492551027646674,0.348094978035167,ok,0.34430180741159006,0.16636458988341507,50.0,0.5790060329881098,0.13741511714477772,50.0,0.38588344988344986,0.20561719851118285,50.0,50,0,,,,,,
d2_beef_uncontrolled,R1,regression,50,mae,minimize,2.4021145659775467,3.330357934115658,5,1.5110951068796379,3.4970257786721968,ok,,,,,,,,,,0,50,2.7570515868981817,3.762178849768332,50.0,-28.277011353588033,85.33916457538338,50.0
d2_beef_uncontrolled,R2,classification,50,macro_f1,maximize,0.2895096440374915,0.1802929552783806,5,0.23713324108119252,0.35678343204295776,ok,0.3461561594202898,0.16473337986401687,50.0,0.5788693111122613,0.13701818500779878,50.0,0.3874405594405594,0.19870199706879396,50.0,50,0,,,,,,
d2_beef_uncontrolled,R2,regression,50,mae,minimize,2.3690978421394457,3.4757933425487444,5,1.393165293870854,3.3528242934220716,ok,,,,,,,,,,0,50,2.7062263534199458,3.9005578926395095,50.0,-29.44637069747307,93.1580348608967,50.0
d2_beef_uncontrolled,R3,classification,50,macro_f1,maximize,0.2736794545228808,0.17404211354137783,5,0.21651674442633295,0.33562131683480845,ok,0.34143318452380955,0.15561540385067665,50.0,0.5814410706861338,0.13295371553370597,50.0,0.3798321678321679,0.19468485195646956,50.0,50,0,,,,,,
d2_beef_uncontrolled,R3,regression,50,mae,minimize,2.2242907748188165,3.3041740267537905,5,1.3755313109933014,3.1845304315418588,ok,,,,,,,,,,0,50,2.5828535225900553,3.796479299048299,50.0,-27.33698148226259,94.14865759080453,50.0
d2_beef_uncontrolled,R4,classification,50,macro_f1,maximize,0.2806363444712085,0.16416936810616847,5,0.23939730039966797,0.32811795573073765,ok,0.34573440630424324,0.143638060293971,50.0,0.585422375433237,0.14470731175721813,50.0,0.3844848484848484,0.18030334417609714,50.0,50,0,,,,,,
d2_beef_uncontrolled,R4,regression,50,mae,minimize,2.290308835072509,3.6877476824818407,5,1.3279126419145986,3.4339203229577633,ok,,,,,,,,,,0,50,2.6632370573306456,4.207364793961237,50.0,-33.26623833538406,118.08922466412959,50.0
d2_beef_uncontrolled,R5,classification,50,macro_f1,maximize,0.28622632318005964,0.1765952079283648,5,0.22772279875162074,0.34472984760849845,ok,0.35195740590428093,0.15444259601416635,50.0,0.5796116542304125,0.12902495817565926,50.0,0.39559906759906754,0.18858895584814125,50.0,50,0,,,,,,
d2_beef_uncontrolled,R5,regression,50,mae,minimize,2.610299464045973,3.729002488539859,5,1.5983031084848691,3.9492141744430826,ok,,,,,,,,,,0,50,2.989521034632495,4.158508403534383,50.0,-33.68721718596489,91.09999759147708,50.0
d2_beef_uncontrolled,R6,classification,50,macro_f1,maximize,0.29353024394738914,0.17518020442408408,5,0.24617619318634748,0.36471100119522715,ok,0.3520081849159294,0.1617990327655075,50.0,0.5984358296327303,0.13678598732705963,50.0,0.39742657342657345,0.20296971523800839,50.0,50,0,,,,,,
d2_beef_uncontrolled,R6,regression,50,mae,minimize,2.125260776667345,3.1040291127146413,5,1.180320674831619,3.2990575726825226,ok,,,,,,,,,,0,50,2.4803772002961693,3.5519965251752406,50.0,-24.705602470105227,94.65591024641036,50.0
