contrast_id,metric,dataset,task,first,second,n_pairs,n_clusters,n_clusters_nonzero,n_seeds,status,delta,delta_ci_low,delta_ci_high,p_value,p_paired_wilcoxon,effect_size,effect_size_name,minimum_achievable_p_over_clusters,family,p_holm,first_code,second_code,first_resolved,second_resolved,note
R0_vs_R2,macro_f1,d2_beef_uncontrolled,classification,R0,R2,50.0,5.0,5.0,10.0,ok,-0.007109157692290746,-0.02188614871363977,0.013453927364797275,0.375,0.35233378232990065,-0.1526530612244898,rank_biserial,0.0625,F_primary,0.375,R0,R2,R0,R2,
R0_vs_R2,mae,d2_beef_uncontrolled,regression,R0,R2,50.0,5.0,5.0,10.0,ok,-0.0968989358940107,-0.2818034337905318,0.1056419428945993,1.0,0.3988547028530327,-0.014421704861362364,hodges_lehmann,0.0625,F_primary,1.0,R0,R2,R0,R2,
R0_vs_R4,macro_f1,d2_beef_uncontrolled,classification,R0,R4,50.0,5.0,5.0,10.0,ok,0.001764141873992312,-0.01623345001920878,0.01896685140028031,1.0,0.3148287568981609,0.16666666666666666,rank_biserial,0.0625,F_secondary_topology,1.0,R0,R4,R0,R4,
R0_vs_R4,mae,d2_beef_uncontrolled,regression,R0,R4,50.0,5.0,5.0,10.0,ok,-0.0181099288270743,-0.30490220160619497,0.311836387549233,1.0,0.9085978224870299,-0.0034655239604651084,hodges_lehmann,0.0625,F_secondary_topology,1.0,R0,R4,R0,R4,
R0_vs_R3,macro_f1,d2_beef_uncontrolled,classification,R0,R3,50.0,5.0,5.0,10.0,ok,0.008721031822319994,0.0006203956381407944,0.016376670419620532,0.375,0.21148488261323095,0.20470588235294118,rank_biserial,0.0625,F_secondary_topology,1.0,R0,R3,R0,R3,
R0_vs_R3,mae,d2_beef_uncontrolled,regression,R0,R3,50.0,5.0,5.0,10.0,ok,0.04790813142661873,-0.12375072683959462,0.19752581008903214,1.0,0.893447016970665,0.0029659639519172554,hodges_lehmann,0.0625,F_secondary_topology,1.0,R0,R3,R0,R3,
R0_vs_GRU,macro_f1,d2_beef_uncontrolled,classification,,,,,,,unpairable,,,,,,,,,,,R0,GRU,R0,GRU,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'GRU')"
R0_vs_GRU,mae,d2_beef_uncontrolled,regression,,,,,,,unpairable,,,,,,,,,,,R0,GRU,R0,GRU,"no common scored (seed, fold_id, window_length) unit between R0 (resolved to 'R0') and GRU (resolved to 'GRU')"
R0_vs_R5,macro_f1,d2_beef_uncontrolled,classification,R0,R5,50.0,5.0,5.0,10.0,ok,-0.0038258368348587824,-0.03641687565335734,0.02562199784766601,1.0,0.5315450259065901,-0.10374149659863946,rank_biserial,0.0625,F_secondary_topology,1.0,R0,R5,R0,R5,
R0_vs_R5,mae,d2_beef_uncontrolled,regression,R0,R5,50.0,5.0,5.0,10.0,ok,-0.3381005578005377,-0.8913024209783252,0.011680353355465014,1.0,0.13045894629165566,-0.03900801151643726,hodges_lehmann,0.0625,F_secondary_topology,1.0,R0,R5,R0,R5,
R0_vs_R1,macro_f1,d2_beef_uncontrolled,classification,R0,R1,50.0,5.0,5.0,10.0,ok,-0.005508299396138708,-0.018038679021286273,0.003895129662808776,1.0,0.7818363763340164,-0.04591836734693878,rank_biserial,0.0625,F_secondary_topology,1.0,R0,R1,R0,R1,
R0_vs_R1,mae,d2_beef_uncontrolled,regression,R0,R1,50.0,5.0,5.0,10.0,ok,-0.12991565973211178,-0.4395134125623755,0.10507281054569857,0.375,0.2653376709882824,-0.024695039570029373,hodges_lehmann,0.0625,F_secondary_topology,1.0,R0,R1,R0,R1,
