dataset,model,task,n_ok,decision_metric,direction,mean,std,n_folds,ci95_low,ci95_high,status,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,auroc_mean,auroc_std,auroc_n,accuracy_mean,accuracy_std,accuracy_n,n_auroc_defined,n_auroc_undefined,rmse_mean,rmse_std,rmse_n,r2_mean,r2_std,r2_n
d3_rainbow_trout,R0,classification,620,macro_f1,maximize,0.6283654687554404,0.1931227111305262,62,0.612050787868325,0.6449157933679741,ok,0.9909127467176767,0.04070674719141263,620.0,1.0,0.0,60.0,0.9922378610547207,0.03324546130316906,620.0,60,560,,,,,,
d3_rainbow_trout,R0,regression,620,mae,minimize,0.0930076380151227,0.05818842402496504,62,0.08932425188194389,0.09666342870098688,ok,,,,,,,,,,0,620,0.1208461169454582,0.0863138129412526,620.0,0.8780508639395722,0.35045778597091926,620.0
d3_rainbow_trout,R1,classification,620,macro_f1,maximize,0.6283278431687275,0.19325626023808454,62,0.6121281332085766,0.6447569866159255,ok,0.9907437275985664,0.041484223895539026,620.0,1.0,0.0,60.0,0.9920002508710258,0.03464517586250325,620.0,60,560,,,,,,
d3_rainbow_trout,R1,regression,620,mae,minimize,0.09260517751490098,0.05815637434457315,62,0.0889623930581485,0.09620508121206922,ok,,,,,,,,,,0,620,0.12086579752111223,0.08824422164628586,620.0,0.8759498971087354,0.3641029291161266,620.0
d3_rainbow_trout,R2,classification,620,macro_f1,maximize,0.6284664013496827,0.1932123271002526,62,0.6121496488111671,0.6450258031715638,ok,0.9910419866871479,0.04049473839229768,620.0,1.0,0.0,60.0,0.992290253883147,0.03342721443446017,620.0,60,560,,,,,,
d3_rainbow_trout,R2,regression,620,mae,minimize,0.09322261484633369,0.059096124824002255,62,0.0894127240009665,0.09706245271349109,ok,,,,,,,,,,0,620,0.12159253876128408,0.08840871227646246,620.0,0.8782850824504675,0.34489408719319176,620.0
d3_rainbow_trout,R3,classification,620,macro_f1,maximize,0.6295432669191519,0.19321561443679022,62,0.6133342604821116,0.6459513410884894,ok,0.9921108550947261,0.03637279294156646,620.0,1.0,0.0,60.0,0.9933205775707397,0.028660537109146778,620.0,60,560,,,,,,
d3_rainbow_trout,R3,regression,620,mae,minimize,0.09303877819748806,0.06045596644713587,62,0.08921016336426744,0.09686454873085336,ok,,,,,,,,,,0,620,0.1229815516586728,0.09418935593089296,620.0,0.8767457759291306,0.3510223851680887,620.0
d3_rainbow_trout,R4,classification,620,macro_f1,maximize,0.6287999060637646,0.19315764726233475,62,0.6125724548155532,0.6452477316643285,ok,0.9913748079877113,0.03865114966083259,620.0,1.0,0.0,60.0,0.9925476567338984,0.03158450763439397,620.0,60,560,,,,,,
d3_rainbow_trout,R4,regression,620,mae,minimize,0.09312640224908184,0.05944895475170676,62,0.089193819205852,0.09702519990274416,ok,,,,,,,,,,0,620,0.12243722741635758,0.09148347230354488,620.0,0.8748844184859371,0.3653700847297608,620.0
d3_rainbow_trout,R5,classification,620,macro_f1,maximize,0.6289138499509257,0.19304968625507912,62,0.61277235401049,0.6452814775531084,ok,0.9916973886328727,0.03782992516602825,620.0,1.0,0.0,60.0,0.9929664500331389,0.02994052103902431,620.0,60,560,,,,,,
d3_rainbow_trout,R5,regression,620,mae,minimize,0.09273071780903785,0.058555577144560896,62,0.08887251231876193,0.09656686876699451,ok,,,,,,,,,,0,620,0.12114103551166101,0.08853414623248804,620.0,0.876891501070817,0.35138030372658735,620.0
d3_rainbow_trout,R6,classification,620,macro_f1,maximize,0.6284897888708005,0.19313354291363044,62,0.612192184654703,0.6450227774846528,ok,0.9909383000512033,0.03969936824025965,620.0,1.0,0.0,60.0,0.9920806063625007,0.033170835218748196,620.0,60,560,,,,,,
d3_rainbow_trout,R6,regression,620,mae,minimize,0.092250134706792,0.0585248092314249,62,0.08833439873268997,0.09612445878640988,ok,,,,,,,,,,0,620,0.12121747068240017,0.08901834490960803,620.0,0.8812515110571018,0.33116055607653677,620.0
