contrast_id,dataset,task,metric,first,second,seed,fold_id,window_length,a,b,delta
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,50,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,51,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,52,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,53,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,54,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,55,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,56,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,57,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,58,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,59,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,60,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,0,61,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,0,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,1,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,2,16,0.75,0.7476189936279733,0.0023810063720266506
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,3,16,0.7074684194550167,0.7138642360278245,-0.006395816572807744
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,4,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,5,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,6,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,7,16,0.7192946378078248,0.7192946378078248,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,8,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,9,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,10,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,11,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,12,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,13,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,14,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,15,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,16,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,17,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,18,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,19,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,20,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,21,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,22,16,0.5453216374269005,0.5523006886590494,-0.006979051232148814
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,23,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,24,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,25,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,26,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,27,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,28,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,29,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,30,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,31,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,32,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,33,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,34,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,35,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,36,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,37,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,38,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,39,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,40,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,41,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,42,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,43,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,44,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,45,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,46,16,0.7141025641025641,0.7068256578947368,0.007276906207827283
