experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s
e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,16,1.4.0,real,True,ok,0.527020979020979,0.2276997976415417,0.7556064041982196,0.17659380320155038,4.0,0.0,0.5176910837149967,0.20858958880754053,0.4451680735377969,0.23420032973819777,,,,,,,10,50,50,5,50,8.176432956131174
e1_main_d2,d2_beef_uncontrolled,cnn1d,regression,16,1.4.0,real,True,ok,,,,,,,,,,,1.6921253230786137,1.7810818829114874,-7.410574003082563,17.090165578609845,1.8535386078147473,1.8280057618067225,10,50,50,5,0,7.787809991752729
e1_main_d2,d2_beef_uncontrolled,esn,classification,16,1.4.0,real,True,ok,0.31786480186480187,0.17567440542900775,0.5376420937420126,0.13660794477276003,4.0,0.0,0.29518549894650437,0.14075076001206646,0.2338746314480882,0.1460749132858575,,,,,,,10,50,50,5,50,2.98041211088188
e1_main_d2,d2_beef_uncontrolled,esn,regression,16,1.4.0,real,True,ok,,,,,,,,,,,2.9178905933669337,3.0799993080235115,-25.988563512961377,54.16781591519221,3.452669758234039,3.1502318236940385,10,50,50,5,0,2.471462412821129
e1_main_d2,d2_beef_uncontrolled,gru,classification,16,1.4.0,real,True,ok,0.5171748251748252,0.21043974125926954,0.8130453952429942,0.14411860787085926,4.0,0.0,0.5381313528661354,0.15218663896255757,0.45183519771113845,0.20868326243408203,,,,,,,10,50,50,5,50,12.165453686947004
e1_main_d2,d2_beef_uncontrolled,gru,regression,16,1.4.0,real,True,ok,,,,,,,,,,,1.0115145593932104,1.0781291140364448,-2.226560534624622,5.321784823316334,1.1664664492505303,1.1213764548909169,10,50,50,5,0,12.031054635168985
e1_main_d2,d2_beef_uncontrolled,lstm,classification,16,1.4.0,real,True,ok,0.5360559440559441,0.19655256822608225,0.8067708532472001,0.11872850140876548,4.0,0.0,0.552058584290106,0.142957992529629,0.4681082444132752,0.19866194753253483,,,,,,,10,50,50,5,50,12.841354263946414
e1_main_d2,d2_beef_uncontrolled,lstm,regression,16,1.4.0,real,True,ok,,,,,,,,,,,1.1338942568028298,1.1931854431360553,-2.9917131021597343,5.90885368282684,1.302292066443616,1.2388107357063156,10,50,50,5,0,12.705175133785232
e1_main_d2,d2_beef_uncontrolled,pca_svm,classification,16,1.4.0,real,True,ok,0.4784988344988345,0.2551425150049235,0.8230222446333013,0.12621100167061844,4.0,0.0,0.5082460165840601,0.19110118275467197,0.419200970059948,0.26650242654061324,,,,,,,10,50,50,5,50,0.6229943003319204
e1_main_d2,d2_beef_uncontrolled,pca_svm,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.7233525009076522,0.36669432349500813,-0.10425698405264681,0.9157226598058932,0.8386293682005612,0.4065417442034931,10,50,50,5,0,0.5731932114530355
e1_main_d2,d2_beef_uncontrolled,random_forest,classification,16,1.4.0,real,True,ok,0.5545174825174825,0.1632045784552058,0.8628828972360303,0.058517163377266826,4.0,0.0,0.5551493401928185,0.11959321819866751,0.5309564299926426,0.13683437465466813,,,,,,,10,50,50,5,50,0.9397313664853573
e1_main_d2,d2_beef_uncontrolled,random_forest,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.38099001588516485,0.19916233571839095,0.5513092548854529,0.39388361921189985,0.5515569284496148,0.24536417164561056,10,50,50,5,0,6.7871598615683615
e1_main_d2,d2_beef_uncontrolled,svm_rbf,classification,16,1.4.0,real,True,ok,0.45930069930069933,0.2659715998367365,0.8427324007434496,0.1293660435326178,4.0,0.0,0.49062259552042164,0.19454788416121466,0.3952878965571492,0.2681487389882643,,,,,,,10,50,50,5,50,1.6810625303909184
e1_main_d2,d2_beef_uncontrolled,svm_rbf,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.6553408477411687,0.3672828174990528,0.03655774992479338,0.8420280718352403,0.7704836637039282,0.4014122699527194,10,50,50,5,0,0.9655607564654202
e1_main_d2,d2_beef_uncontrolled,tcn,classification,16,1.4.0,real,True,ok,0.5294265734265734,0.22060644282625422,0.755801231590764,0.1797553783167387,4.0,0.0,0.5139886818495514,0.20707876797736763,0.445125095886997,0.23068504960433164,,,,,,,10,50,50,5,50,11.925414969604462
e1_main_d2,d2_beef_uncontrolled,tcn,regression,16,1.4.0,real,True,ok,,,,,,,,,,,1.6257369041193346,1.5230761977721219,-6.130147912732021,11.187738621849213,1.786399515373691,1.5794621834808265,10,50,50,5,0,11.780344806686044
e1_main_d2,d2_beef_uncontrolled,xgboost,classification,16,1.4.0,real,True,ok,0.6217342657342657,0.15658416116194937,0.8562259098893438,0.11163996380989696,4.0,0.0,0.6104094484571386,0.11659559201541557,0.5853490261311937,0.12565801533716298,,,,,,,10,50,50,5,50,2.454131962126121
e1_main_d2,d2_beef_uncontrolled,xgboost,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.3916949027498209,0.21161524340859017,0.5373524699718559,0.42631603526076983,0.5573193382163513,0.2461639840503495,10,50,50,5,0,1.9039450166746974
