experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s
e1_main_d3,d3_rainbow_trout,cnn1d,classification,16,1.4.0,real,True,ok,0.9857651281208343,0.05485671028863999,1.0,0.0,0.3870967741935484,1.1835550443995688,0.9841333845366104,0.060318598718152455,0.6254239629976972,0.19692321748480782,,,,,,,10,620,620,62,60,23.71827681462521
e1_main_d3,d3_rainbow_trout,cnn1d,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.08599110881814609,0.06800616639259888,0.8934675198355858,0.2868987163159922,0.11501187166815154,0.10153447094682119,10,620,620,62,0,23.054902737472776
e1_main_d3,d3_rainbow_trout,esn,classification,16,1.4.0,real,True,ok,0.9857744886416892,0.05043797526181789,1.0,0.0,0.3870967741935484,1.1835550443995688,0.9847252090800478,0.054160675124266054,0.626009750403889,0.19471023733131765,,,,,,,10,620,620,62,60,5.719374992657122
e1_main_d3,d3_rainbow_trout,esn,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.06673830599862986,0.077301348205524,0.9035582790825576,0.2615821543768988,0.10755098758626583,0.15100373004286283,10,620,620,62,0,5.713164539736575
e1_main_d3,d3_rainbow_trout,gru,classification,16,1.4.0,real,True,ok,0.9897445252683027,0.047428171018786096,1.0,0.0,0.3870967741935484,1.1835550443995688,0.9882171840129844,0.05129858995075498,0.6301685748337459,0.1981696489648101,,,,,,,10,620,620,62,60,38.678040317186124
e1_main_d3,d3_rainbow_trout,gru,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.038630688938145225,0.039440993468708586,0.9264145941383597,0.24623936797257018,0.05126110054928932,0.058328943882586054,10,620,620,62,0,38.657496218299194
e1_main_d3,d3_rainbow_trout,lstm,classification,16,1.4.0,real,True,ok,0.9901095406640518,0.04532336273758504,1.0,0.0,0.3870967741935484,1.1835550443995688,0.988606425528215,0.04964667037210505,0.6294047128707729,0.19847848259144293,,,,,,,10,620,620,62,60,40.64689966747462
e1_main_d3,d3_rainbow_trout,lstm,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.04020746316609975,0.04791222227114489,0.9253613861527675,0.24663422455395176,0.053850496144601495,0.07292249709964986,10,620,620,62,0,40.65067341031672
e1_main_d3,d3_rainbow_trout,pca_svm,classification,16,1.4.0,real,True,ok,0.9758708228374959,0.07026696684331256,0.9998837868480727,0.000900183204050478,0.3870967741935484,1.1835550443995688,0.9701561699948797,0.08545378196057227,0.6139142309308009,0.19777529267980848,,,,,,,10,620,620,62,60,0.7855806853517049
e1_main_d3,d3_rainbow_trout,pca_svm,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.11416648345549757,0.06695034502864448,0.6541260102767477,2.0467222775689713,0.14132379013117852,0.09460724325421574,10,620,620,62,0,4.610191542323258
e1_main_d3,d3_rainbow_trout,random_forest,classification,16,1.4.0,real,True,ok,0.9859194645600176,0.06516578828307763,1.0,0.0,0.3870967741935484,1.1835550443995688,0.9855913978494625,0.06521885372151315,0.6293293467483028,0.20155954039252197,,,,,,,10,620,620,62,60,0.9884610325916701
e1_main_d3,d3_rainbow_trout,random_forest,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.014767572451205255,0.05945016309187786,0.9433014648361112,0.21715697247311308,0.02737971730050973,0.09126611835847676,10,620,620,62,0,6.284566830741542
e1_main_d3,d3_rainbow_trout,svm_rbf,classification,16,1.4.0,real,True,ok,0.9877112747057203,0.04868448874176982,1.0,0.0,0.3870967741935484,1.1835550443995688,0.9868386806944324,0.05053079594413049,0.6281430629568949,0.1969288158034289,,,,,,,10,620,620,62,60,1.014786236337386
e1_main_d3,d3_rainbow_trout,svm_rbf,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.08894241103177025,0.06334640562674056,0.8814135707687246,0.3372868714632597,0.11419351668421314,0.1047259907527467,10,620,620,62,0,4.23086078834735
e1_main_d3,d3_rainbow_trout,tcn,classification,16,1.4.0,real,True,ok,0.986038086504891,0.05546354619186508,1.0,0.0,0.3870967741935484,1.1835550443995688,0.9846991807475679,0.05864853585602297,0.6259632167564123,0.19759636566858169,,,,,,,10,620,620,62,60,32.920251428876675
e1_main_d3,d3_rainbow_trout,tcn,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.08716580210452342,0.06576019794525648,0.8827219011527038,0.38514800319081177,0.11772648664365142,0.09765261367284327,10,620,620,62,0,32.810035713461616
e1_main_d3,d3_rainbow_trout,xgboost,classification,16,1.4.0,real,True,ok,0.986305683563748,0.06511581589590128,1.0,0.0,0.3870967741935484,1.1835550443995688,0.9852227342549923,0.06746543958855802,0.6274624085719568,0.19799242107062617,,,,,,,10,620,620,62,60,1.6385105746009598
e1_main_d3,d3_rainbow_trout,xgboost,regression,16,1.4.0,real,True,ok,,,,,,,,,,,0.01928085047847873,0.06454105251740383,0.9241422823598013,0.2454918278101962,0.04015811882489049,0.1152647119143169,10,620,620,62,0,1.1861266372710346
