run_id,experiment,dataset,model,task,seed,fold_id,window_length,protocol_version,evidence_class,protocol_compliant,status,n_train_windows,n_test_windows,n_train_specimens,n_test_specimens,test_specimens_joined,n_train_sessions,n_test_sessions,duration_s,cpu_seconds,accuracy,auroc,auroc_defined,auroc_n_classes_scored,balanced_accuracy,empty_class_policy,macro_f1,mae,r2,rmse
d3_rainbow_trout|R0|classification|seed00|fold00,e2_main_d3,d3_rainbow_trout,R0,classification,0,0,16,1.4.0,real,True,ok,21300,210,60,1,F1F8,204,2,5.502060293219984,7.156644999999998,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
d3_rainbow_trout|R0|classification|seed00|fold01,e2_main_d3,d3_rainbow_trout,R0,classification,0,1,16,1.4.0,real,True,ok,21090,420,60,1,F2F20,202,4,5.276863471139222,6.643117000000012,1.0,,False,0.0,1.0,require_all_classes,0.75,,,
d3_rainbow_trout|R0|classification|seed00|fold02,e2_main_d3,d3_rainbow_trout,R0,classification,0,2,16,1.4.0,real,True,ok,21405,420,60,1,F2F12,205,4,5.757933643180877,7.025609999999977,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
d3_rainbow_trout|R0|classification|seed00|fold03,e2_main_d3,d3_rainbow_trout,R0,classification,0,3,16,1.4.0,real,True,ok,21510,105,60,1,F1F18,206,1,5.897558111697435,6.25124700000001,1.0,,False,0.0,1.0,require_all_classes,0.25,,,
d3_rainbow_trout|R0|classification|seed00|fold04,e2_main_d3,d3_rainbow_trout,R0,classification,0,4,16,1.4.0,real,True,ok,21300,315,60,1,F3F5,204,3,5.4179685320705175,6.760720000000013,1.0,,False,0.0,1.0,require_all_classes,0.75,,,
d3_rainbow_trout|R0|classification|seed00|fold05,e2_main_d3,d3_rainbow_trout,R0,classification,0,5,16,1.4.0,real,True,ok,21300,315,60,1,F3F12,204,3,5.621322823222727,7.013805999999928,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
d3_rainbow_trout|R0|classification|seed00|fold06,e2_main_d3,d3_rainbow_trout,R0,classification,0,6,16,1.4.0,real,True,ok,21300,315,60,1,F4F16,204,3,5.740106281358749,6.9380539999999655,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
d3_rainbow_trout|R0|classification|seed00|fold07,e2_main_d3,d3_rainbow_trout,R0,classification,0,7,16,1.4.0,real,True,ok,21300,315,60,1,F1F13,204,3,5.308505943976343,6.840546999999987,1.0,,False,0.0,1.0,require_all_classes,0.75,,,
d3_rainbow_trout|R0|classification|seed00|fold08,e2_main_d3,d3_rainbow_trout,R0,classification,0,8,16,1.4.0,real,True,ok,21405,315,60,1,F4F17,205,3,5.275132275186479,6.8795279999999295,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
d3_rainbow_trout|R0|classification|seed00|fold09,e2_main_d3,d3_rainbow_trout,R0,classification,0,9,16,1.4.0,real,True,ok,21510,210,60,1,F4F7,206,2,5.685866305138916,6.798316000000149,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
d3_rainbow_trout|R0|classification|seed00|fold10,e2_main_d3,d3_rainbow_trout,R0,classification,0,10,16,1.4.0,real,True,ok,21405,210,60,1,F1F2,205,2,5.891313287895173,7.005815000000062,1.0,,False,0.0,1.0,require_all_classes,0.25,,,
d3_rainbow_trout|R0|classification|seed00|fold11,e2_main_d3,d3_rainbow_trout,R0,classification,0,11,16,1.4.0,real,True,ok,21510,315,60,1,F1F11,206,3,5.3860711068846285,6.920873999999898,0.9555555555555556,,False,0.0,0.9555555555555556,require_all_classes,0.7165178571428572,,,
d3_rainbow_trout|R0|classification|seed00|fold12,e2_main_d3,d3_rainbow_trout,R0,classification,0,12,16,1.4.0,real,True,ok,21300,105,60,1,F3F7,204,1,5.115433990955353,6.013678999999982,1.0,,False,0.0,1.0,require_all_classes,0.25,,,
d3_rainbow_trout|R0|classification|seed00|fold13,e2_main_d3,d3_rainbow_trout,R0,classification,0,13,16,1.4.0,real,True,ok,20879,525,60,1,F2F16,200,5,5.2281166282482445,6.870584999999991,0.9885714285714285,,False,0.0,0.9904761904761905,require_all_classes,0.7394323671497585,,,
d3_rainbow_trout|R0|classification|seed00|fold14,e2_main_d3,d3_rainbow_trout,R0,classification,0,14,16,1.4.0,real,True,ok,21089,526,60,1,F2F17,202,5,6.242322467267513,7.881917000000101,0.8498098859315589,,False,0.0,0.8746031746031746,require_all_classes,0.62421269562939,,,
d3_rainbow_trout|R0|classification|seed00|fold15,e2_main_d3,d3_rainbow_trout,R0,classification,0,15,16,1.4.0,real,True,ok,21195,315,60,1,F3F6,203,3,5.242383205797523,6.879975000000201,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
d3_rainbow_trout|R0|classification|seed00|fold16,e2_main_d3,d3_rainbow_trout,R0,classification,0,16,16,1.4.0,real,True,ok,20985,420,60,1,F1F3,201,4,5.256099756807089,6.894700999999927,1.0,,False,0.0,1.0,require_all_classes,0.75,,,
d3_rainbow_trout|R0|classification|seed00|fold17,e2_main_d3,d3_rainbow_trout,R0,classification,0,17,16,1.4.0,real,True,ok,20985,525,60,1,F3F13,201,5,5.3541107517667115,6.990946000000022,1.0,1.0,True,4.0,1.0,require_all_classes,1.0,,,
d3_rainbow_trout|R0|classification|seed00|fold18,e2_main_d3,d3_rainbow_trout,R0,classification,0,18,16,1.4.0,real,True,ok,21195,420,60,1,F2F8,203,4,5.390310289338231,7.027736000000189,1.0,,False,0.0,1.0,require_all_classes,0.75,,,
d3_rainbow_trout|R0|classification|seed00|fold19,e2_main_d3,d3_rainbow_trout,R0,classification,0,19,16,1.4.0,real,True,ok,21405,315,60,1,F2F1,205,3,5.331670941319317,6.973228000000049,1.0,,False,0.0,1.0,require_all_classes,0.75,,,
d3_rainbow_trout|R0|classification|seed00|fold20,e2_main_d3,d3_rainbow_trout,R0,classification,0,20,16,1.4.0,real,True,ok,21300,210,60,1,F4F20,204,2,5.338812651112676,6.812277000000222,1.0,,False,0.0,1.0,require_all_classes,0.25,,,
d3_rainbow_trout|R0|classification|seed00|fold21,e2_main_d3,d3_rainbow_trout,R0,classification,0,21,16,1.4.0,real,True,ok,21090,420,60,1,F1F12,202,4,5.35104442294687,6.895110000000145,1.0,,False,0.0,1.0,require_all_classes,0.75,,,
d3_rainbow_trout|R0|classification|seed00|fold22,e2_main_d3,d3_rainbow_trout,R0,classification,0,22,16,1.4.0,real,True,ok,20985,420,60,1,F1F10,201,4,5.3448418830521405,6.916012999999694,1.0,,False,0.0,1.0,require_all_classes,0.5,,,
