run_id,experiment,dataset,model,task,seed,fold_id,window_length,protocol_version,evidence_class,protocol_compliant,status,failure_reason,timestamp_utc,duration_s,n_train_windows,n_test_windows,n_train_specimens,n_test_specimens,n_train_sessions,n_test_sessions,fold_fingerprint,test_fingerprint,config_hash,empty_class_policy,class_coverage,selection
d2_beef_uncontrolled|cnn1d|classification|seed00|fold00,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,0,0,16,1.4.0,real,True,ok,,2026-09-21T09:43:03Z,9.072716569993645,6435,2145,,,3,1,20a70c561f8e,5dfa448e086081ae,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed00|fold01,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,0,1,16,1.4.0,real,True,ok,,2026-09-21T09:43:37Z,7.169741270132363,6435,2145,,,3,1,6c9ef01abdf9,0ce75a27548236b5,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed00|fold02,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,0,2,16,1.4.0,real,True,ok,,2026-09-21T09:44:16Z,7.276589042972773,6435,2145,,,3,1,8f5d6031eff3,3aef80c1422eb0fb,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed00|fold03,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,0,3,16,1.4.0,real,True,ok,,2026-09-21T09:44:55Z,7.5290367803536355,6435,2145,,,3,1,940f76d29b89,61d857bf6b311366,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed00|fold04,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,0,4,16,1.4.0,real,True,ok,,2026-09-21T09:45:32Z,7.921432831790298,6435,2145,,,3,1,b01bbf6f9575,e75046b727fb33b5,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed01|fold00,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,1,0,16,1.4.0,real,True,ok,,2026-09-21T09:46:15Z,8.654080831911415,6435,2145,,,3,1,92d667f81d03,02f557f419bcf511,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed01|fold01,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,1,1,16,1.4.0,real,True,ok,,2026-09-21T09:46:52Z,8.010254085063934,6435,2145,,,3,1,63eaca80ac77,29a63da9df01dd0b,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed01|fold02,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,1,2,16,1.4.0,real,True,ok,,2026-09-21T09:47:30Z,8.190505139064044,6435,2145,,,3,1,14ed105fd91e,d8b4a8235dc762f2,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed01|fold03,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,1,3,16,1.4.0,real,True,ok,,2026-09-21T09:48:09Z,8.304107922129333,6435,2145,,,3,1,99c64364d832,c84e92beacda8dd1,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed01|fold04,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,1,4,16,1.4.0,real,True,ok,,2026-09-21T09:48:49Z,9.248587132897228,6435,2145,,,3,1,fa4200209670,2727ca67dd3cd4a3,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed02|fold00,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,2,0,16,1.4.0,real,True,ok,,2026-09-21T09:49:27Z,6.327703346963972,6435,2145,,,3,1,38e11e05422e,98ed05990454999f,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed02|fold01,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,2,1,16,1.4.0,real,True,ok,,2026-09-21T09:50:06Z,7.119378027971834,6435,2145,,,3,1,8a87c8dddc86,d5ef09d82a759083,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed02|fold02,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,2,2,16,1.4.0,real,True,ok,,2026-09-21T09:50:42Z,5.673397012986243,6435,2145,,,3,1,545d378c28a6,70b3a67af42d9720,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed02|fold03,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,2,3,16,1.4.0,real,True,ok,,2026-09-21T09:51:21Z,8.26988403685391,6435,2145,,,3,1,289906332a4f,3a42b8e4b7c8481c,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed02|fold04,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,2,4,16,1.4.0,real,True,ok,,2026-09-21T09:51:56Z,6.887794946786016,6435,2145,,,3,1,202906f4d7e1,376e1d2734c12828,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed03|fold00,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,3,0,16,1.4.0,real,True,ok,,2026-09-21T09:52:34Z,6.536245482973754,6435,2145,,,3,1,0e087c313624,1e402153ec8d05c3,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed03|fold01,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,3,1,16,1.4.0,real,True,ok,,2026-09-21T09:53:10Z,9.017925580963492,6435,2145,,,3,1,ff41306bda71,56ad3f2b79b844af,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed03|fold02,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,3,2,16,1.4.0,real,True,ok,,2026-09-21T09:53:50Z,8.350404397118837,6435,2145,,,3,1,31c8eaca9098,b92d7d24a810a23b,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed03|fold03,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,3,3,16,1.4.0,real,True,ok,,2026-09-21T09:54:27Z,7.701112687587738,6435,2145,,,3,1,73fd7314e359,487f597cb4006c3f,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed03|fold04,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,3,4,16,1.4.0,real,True,ok,,2026-09-21T09:55:05Z,7.319703542161733,6435,2145,,,3,1,a4933ae9f507,01d79760ad41a15a,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed04|fold00,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,4,0,16,1.4.0,real,True,ok,,2026-09-21T09:55:40Z,7.012570603284985,6435,2145,,,3,1,ab20f229b2e5,e126dfd20c907c48,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed04|fold01,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,4,1,16,1.4.0,real,True,ok,,2026-09-21T09:56:19Z,6.8147691008634865,6435,2145,,,3,1,6b2262999c63,5355e83050a3631d,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed04|fold02,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,4,2,16,1.4.0,real,True,ok,,2026-09-21T09:57:00Z,9.0440299292095,6435,2145,,,3,1,557db8e1a73e,ed7a2e0f7c250ed3,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed04|fold03,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,4,3,16,1.4.0,real,True,ok,,2026-09-21T09:57:41Z,8.625794991850853,6435,2145,,,3,1,9dd348ffc2ab,7b607165f225e161,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed04|fold04,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,4,4,16,1.4.0,real,True,ok,,2026-09-21T09:58:22Z,7.128084493800998,6435,2145,,,3,1,faf19bcdc9b9,1ecc2c5ddfbfc5b6,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed05|fold00,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,5,0,16,1.4.0,real,True,ok,,2026-09-21T09:59:04Z,8.902530997991562,6435,2145,,,3,1,413cdd715162,974ce7184cacbf91,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed05|fold01,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,5,1,16,1.4.0,real,True,ok,,2026-09-21T09:59:46Z,7.866925170645118,6435,2145,,,3,1,a8b8c30a5944,61f5ee86876c9757,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed05|fold02,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,5,2,16,1.4.0,real,True,ok,,2026-09-21T10:00:28Z,8.567665961105376,6435,2145,,,3,1,9de5f792dc27,eb2bf95dad4e04d5,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed05|fold03,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,5,3,16,1.4.0,real,True,ok,,2026-09-21T10:01:10Z,8.950013891328126,6435,2145,,,3,1,a5838cf9641b,9ff4c0ecafe231a2,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed05|fold04,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,5,4,16,1.4.0,real,True,ok,,2026-09-21T10:01:54Z,9.357644489966333,6435,2145,,,3,1,6eee1b95b6aa,642a4da7d8c47fc4,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed06|fold00,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,6,0,16,1.4.0,real,True,ok,,2026-09-21T10:02:36Z,9.101759998127818,6435,2145,,,3,1,477c37a8ab73,667fab9ae907dd2f,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed06|fold01,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,6,1,16,1.4.0,real,True,ok,,2026-09-21T10:03:22Z,9.115240979008377,6435,2145,,,3,1,1c2e3ba58278,039737c0c58f8c2d,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed06|fold02,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,6,2,16,1.4.0,real,True,ok,,2026-09-21T10:04:04Z,8.500993716996163,6435,2145,,,3,1,54ff457155dd,7ab48d55c86c7eb3,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
d2_beef_uncontrolled|cnn1d|classification|seed06|fold03,e1_main_d2,d2_beef_uncontrolled,cnn1d,classification,6,3,16,1.4.0,real,True,ok,,2026-09-21T10:04:46Z,8.412588145118207,6435,2145,,,3,1,a877630b86ff,a9db8e48bd8ff7ac,a60d157027a1,require_all_classes,"{""missing_in_test"": [], ""missing_in_train"": []}",{}
