run_id,experiment,dataset,model,task,seed,fold_id,window_length,protocol_version,evidence_class,protocol_compliant,status,n_train_windows,n_test_windows,n_train_specimens,n_test_specimens,test_specimens_joined,n_train_sessions,n_test_sessions,duration_s,cpu_seconds,accuracy,auroc,auroc_defined,auroc_n_classes_scored,balanced_accuracy,empty_class_policy,macro_f1,mae,r2,rmse
d2_beef_uncontrolled|R0|classification|seed00|fold00,e2_main_d2,d2_beef_uncontrolled,R0,classification,0,0,16,1.4.0,real,True,ok,6435,2145,3,1,TS3,3,1,2.662526227068156,5.193961000000001,0.45827505827505827,0.6792235987999107,True,4.0,0.4627294685990338,require_all_classes,0.5126215611917225,,,
d2_beef_uncontrolled|R0|classification|seed00|fold01,e2_main_d2,d2_beef_uncontrolled,R0,classification,0,1,16,1.4.0,real,True,ok,6435,2145,3,1,TS5,3,1,2.5488794837146997,5.0028479999999975,0.1958041958041958,0.43831176677274775,True,4.0,0.25,require_all_classes,0.08187134502923976,,,
d2_beef_uncontrolled|R0|classification|seed00|fold02,e2_main_d2,d2_beef_uncontrolled,R0,classification,0,2,16,1.4.0,real,True,ok,6435,2145,3,1,TS4,3,1,2.7797630401328206,4.770419000000009,0.6909090909090909,0.7559035053938689,True,4.0,0.6199677938808373,require_all_classes,0.5899413660375246,,,
d2_beef_uncontrolled|R0|classification|seed00|fold03,e2_main_d2,d2_beef_uncontrolled,R0,classification,0,3,16,1.4.0,real,True,ok,6435,2145,3,1,TS1,3,1,2.6941199470311403,5.018312000000042,0.3752913752913753,0.576282204301951,True,4.0,0.4331060606060606,require_all_classes,0.2859090605963745,,,
d2_beef_uncontrolled|R0|classification|seed00|fold04,e2_main_d2,d2_beef_uncontrolled,R0,classification,0,4,16,1.4.0,real,True,ok,6435,2145,3,1,TS2,3,1,2.702989432029426,4.977064,0.20372960372960372,0.47100193512473154,True,4.0,0.20164141414141412,require_all_classes,0.10013683682609065,,,
d2_beef_uncontrolled|R0|classification|seed01|fold00,e2_main_d2,d2_beef_uncontrolled,R0,classification,1,0,16,1.4.0,real,True,ok,6435,2145,3,1,TS5,3,1,2.719903649762273,5.044938000000004,0.059673659673659674,0.31249602315244496,True,4.0,0.05992926155969634,require_all_classes,0.05654596149686568,,,
d2_beef_uncontrolled|R0|classification|seed01|fold01,e2_main_d2,d2_beef_uncontrolled,R0,classification,1,1,16,1.4.0,real,True,ok,6435,2145,3,1,TS1,3,1,2.8735002824105322,5.05332099999997,0.2648018648018648,0.39186801683788736,True,4.0,0.21515151515151515,require_all_classes,0.11150372987828819,,,
d2_beef_uncontrolled|R0|classification|seed01|fold02,e2_main_d2,d2_beef_uncontrolled,R0,classification,1,2,16,1.4.0,real,True,ok,6435,2145,3,1,TS2,3,1,2.7611907441169024,5.038647999999988,0.23123543123543125,0.4871580610342685,True,4.0,0.24533011272141708,require_all_classes,0.17156960180215994,,,
d2_beef_uncontrolled|R0|classification|seed01|fold03,e2_main_d2,d2_beef_uncontrolled,R0,classification,1,3,16,1.4.0,real,True,ok,6435,2145,3,1,TS3,3,1,2.765311472117901,5.0426489999999085,0.7617715617715618,0.8033050566709187,True,4.0,0.6800925925925926,require_all_classes,0.6505643187151332,,,
d2_beef_uncontrolled|R0|classification|seed01|fold04,e2_main_d2,d2_beef_uncontrolled,R0,classification,1,4,16,1.4.0,real,True,ok,6435,2145,3,1,TS4,3,1,2.902046746108681,5.063162000000023,0.593006993006993,0.5413737330637456,True,4.0,0.4628968253968254,require_all_classes,0.39145400921077533,,,
