legacy_fingerprint,dataset,model,task,seed,fold_id,window_length,reservoir_size,normalization,input_mapping,topology_variant,rewire_seed,v1_5_identity_id,n_ok_records_on_this_substrate,n_scored_on_this_substrate,n_config_hashes_on_this_substrate,config_hashes,experiments,n_substrates_sharing_this_fingerprint,classification
19abfd52932e166e,d2_beef_uncontrolled,R2,classification,0,3,16,4000,,,R2_degree_rewired,,b1f10da3fe2ab0c1,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
19abfd52932e166e,d2_beef_uncontrolled,R2,classification,0,3,16,500,,,R2_degree_rewired,,3cfd22bee1d83a9f,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
1c7dc51c66e97970,d2_beef_uncontrolled,R4,regression,0,0,16,1000,,,R4_er_esn,,052dff05f1579682,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
1c7dc51c66e97970,d2_beef_uncontrolled,R4,regression,0,0,16,2000,,,R4_er_esn,,5966069ec848a579,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
1c7dc51c66e97970,d2_beef_uncontrolled,R4,regression,0,0,16,250,,,R4_er_esn,,24a2f323a2076690,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
1c7dc51c66e97970,d2_beef_uncontrolled,R4,regression,0,0,16,4000,,,R4_er_esn,,9345babc43c2f841,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
1c7dc51c66e97970,d2_beef_uncontrolled,R4,regression,0,0,16,500,,,R4_er_esn,,f4589af0474ecab2,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
1c8551094286f303,d2_beef_uncontrolled,R2,classification,0,4,16,1000,,,R2_degree_rewired,,0ed3e59db28b1595,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
1c8551094286f303,d2_beef_uncontrolled,R2,classification,0,4,16,2000,,,R2_degree_rewired,,720e71fa4aa64c7e,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
1c8551094286f303,d2_beef_uncontrolled,R2,classification,0,4,16,250,,,R2_degree_rewired,,6a3afe513b16f6ac,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
1c8551094286f303,d2_beef_uncontrolled,R2,classification,0,4,16,4000,,,R2_degree_rewired,,3fddc4d980c1d8dd,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
1c8551094286f303,d2_beef_uncontrolled,R2,classification,0,4,16,500,,,R2_degree_rewired,,8aa3de05b947ac11,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
1d1cb7a9275111cb,d2_beef_uncontrolled,R0,classification,0,4,16,1000,n1_pre_l1,,R0_real_fly,,882a77c2d4c75573,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
1d1cb7a9275111cb,d2_beef_uncontrolled,R0,classification,0,4,16,2000,n1_pre_l1,,R0_real_fly,,d8700f4205a6a1cb,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
1d1cb7a9275111cb,d2_beef_uncontrolled,R0,classification,0,4,16,250,n1_pre_l1,,R0_real_fly,,d593f68448e39a6c,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
1d1cb7a9275111cb,d2_beef_uncontrolled,R0,classification,0,4,16,4000,n1_pre_l1,,R0_real_fly,,6d75a0560a5eec8f,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
1d1cb7a9275111cb,d2_beef_uncontrolled,R0,classification,0,4,16,500,n1_pre_l1,,R0_real_fly,,cb29ed50cd4a450e,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
259715482670d881,d2_beef_uncontrolled,R5,classification,0,4,16,1000,,,R5_small_world,,e8b2e467d16e9cba,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
259715482670d881,d2_beef_uncontrolled,R5,classification,0,4,16,2000,,,R5_small_world,,d71d245f6f0f9b51,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
259715482670d881,d2_beef_uncontrolled,R5,classification,0,4,16,250,,,R5_small_world,,5a4ff0c7ed72ae28,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
259715482670d881,d2_beef_uncontrolled,R5,classification,0,4,16,4000,,,R5_small_world,,02e87464a837d0e8,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
259715482670d881,d2_beef_uncontrolled,R5,classification,0,4,16,500,,,R5_small_world,,3ef4a66bb0dea778,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
2a9ff4bc0276fc2b,d2_beef_uncontrolled,R1,regression,0,0,16,1000,,,R1_weight_shuffled,,67113dd0e722eedd,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
2a9ff4bc0276fc2b,d2_beef_uncontrolled,R1,regression,0,0,16,2000,,,R1_weight_shuffled,,f5bef66ae3e43e4b,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
