model,task,repetitions,n_train_windows,n_val_windows,n_channels,train_time_s_mean,train_time_s_std,predict_time_s_mean,predict_time_s_std,ms_per_sample_mean,ms_per_sample_std,peak_rss_kb_mean,peak_gpu_mb_mean,n_trainable_parameters,device,torch_num_threads,failure_reason
gru,classification,3,630,315,8,2.237858640961349,0.24630189498518618,0.0015037576667964458,0.00034399706221477236,0.00477383386284586,0.001092054165761182,902554.6666666666,27.328125,4164.0,cuda:0,1,
lstm,classification,3,630,315,8,1.0553591737213235,0.02206156958592488,0.0011927567732830842,0.00011780362774130624,0.0037865294389939183,0.0003739797706073215,912508.0,31.2451171875,5508.0,cuda:0,1,
cnn1d,classification,3,630,315,8,0.4690033746883273,0.004866621883155412,0.0008229580707848072,1.6005129825277143e-05,0.002612565304078753,5.080993595326081e-05,1074945.3333333333,9.9462890625,932.0,cuda:0,1,
tcn,classification,3,630,315,8,0.657975976044933,0.0027323898419881073,0.0009730160236358643,5.8293819269001556e-05,0.0030889397575741724,0.00018505974371111621,1086189.3333333333,10.82861328125,1220.0,cuda:0,1,
