model,task,repetitions,n_train_windows,n_val_windows,n_channels,train_time_s_mean,train_time_s_std,predict_time_s_mean,predict_time_s_std,ms_per_sample_mean,ms_per_sample_std,peak_rss_kb_mean,peak_gpu_mb_mean,n_trainable_parameters,device,torch_num_threads,failure_reason
svm_rbf,classification,3,630,315,8,0.026776231980572145,8.921018060725052e-05,0.01743392025430997,0.00016014769627326856,0.05534577858511103,0.0005084053849945015,558512.0,0.0,0.0,cpu,1,
random_forest,classification,3,630,315,8,1.0027460923107963,0.024277115933806298,0.06910214728365342,0.010337271917976232,0.2193718961385823,0.0328167362475436,572029.3333333334,0.0,8542.666666666666,cpu,1,
xgboost,classification,3,630,315,8,1.1964093499506514,0.022386125367563233,0.0024869879707694054,0.00019532243101324086,0.007895199907204461,0.0006200712095658443,691161.3333333334,0.0,5111.333333333333,cpu,1,
pca_svm,classification,3,630,315,8,0.05871656117960811,0.03361515352891772,0.032718789453307785,0.023844672150575147,0.10386917286764376,0.07569737190658776,696284.0,0.0,0.0,cpu,1,
gru,classification,3,630,315,8,1.6427452135831118,0.007146376185807659,0.0026645767502486706,0.0004658316729491529,0.00845897381031324,0.0014788307077750887,786054.6666666666,0.0,4164.0,cpu,1,
lstm,classification,3,630,315,8,0.7240509901506206,0.0005806005405247871,0.0019756417411069074,0.00019769615170532257,0.006271878543196532,0.0006276068308105479,803128.0,0.0,5508.0,cpu,1,
cnn1d,classification,3,630,315,8,0.43822535406798124,0.0003689853447643382,0.000986443522075812,2.14127992181005e-05,0.0031315667367486093,6.797714037492213e-05,806957.3333333334,0.0,932.0,cpu,1,
tcn,classification,3,630,315,8,0.6684612450189888,0.03639270333564269,0.0015186970122158527,5.328920201234939e-05,0.0048212603562408024,0.00016917206988047411,807808.0,0.0,1220.0,cpu,1,
esn,classification,3,630,315,8,0.15923276264220476,0.0020769113273035856,0.0760157269736131,0.0009158174361069335,0.24131976817020032,0.002907356940022011,819682.6666666666,0.0,804.0,cpu,1,
