dataset,model,task,n_ok,decision_metric,direction,mean,std,n_folds,ci95_low,ci95_high,status,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,auroc_mean,auroc_std,auroc_n,accuracy_mean,accuracy_std,accuracy_n,n_auroc_defined,n_auroc_undefined,rmse_mean,rmse_std,rmse_n,r2_mean,r2_std,r2_n
d3_rainbow_trout,cnn1d,classification,620,macro_f1,maximize,0.6254239629976971,0.19692321748480784,62,0.6085668897916001,0.6425282621530778,ok,0.9841333845366104,0.06031859871815251,620.0,1.0,0.0,60.0,0.9857651281208343,0.05485671028864,620.0,60,560,,,,,,
d3_rainbow_trout,cnn1d,regression,620,mae,minimize,0.08599110881814605,0.06800616639259892,62,0.08096134462131709,0.0911016609967733,ok,,,,,,,,,,0,620,0.1150118716681515,0.1015344709468212,620.0,0.8934675198355858,0.2868987163159923,620.0
d3_rainbow_trout,esn,classification,620,macro_f1,maximize,0.626009750403889,0.19471023733131756,62,0.6093700291703921,0.642788998313603,ok,0.9847252090800477,0.05416067512426605,620.0,1.0,0.0,60.0,0.9857744886416892,0.050437975261817904,620.0,60,560,,,,,,
d3_rainbow_trout,esn,regression,620,mae,minimize,0.06673830599862982,0.07730134820552398,62,0.061378402219565836,0.07236199461032324,ok,,,,,,,,,,0,620,0.1075509875862658,0.1510037300428629,620.0,0.9035582790825576,0.26158215437689886,620.0
d3_rainbow_trout,gru,classification,620,macro_f1,maximize,0.6301685748337459,0.19816964896481012,62,0.6131360140555437,0.6478373906011311,ok,0.9882171840129844,0.05129858995075498,620.0,1.0,0.0,60.0,0.9897445252683027,0.04742817101878609,620.0,60,560,,,,,,
d3_rainbow_trout,gru,regression,620,mae,minimize,0.03863068893814518,0.039440993468708586,62,0.0357351521659576,0.041693195453465046,ok,,,,,,,,,,0,620,0.05126110054928928,0.05832894388258609,620.0,0.9264145941383597,0.24623936797257032,620.0
d3_rainbow_trout,lstm,classification,620,macro_f1,maximize,0.6294047128707729,0.198478482591443,62,0.6120529904417464,0.6471288808478702,ok,0.988606425528215,0.04964667037210504,620.0,1.0,0.0,60.0,0.9901095406640518,0.04532336273758505,620.0,60,560,,,,,,
d3_rainbow_trout,lstm,regression,620,mae,minimize,0.04020746316609971,0.04791222227114489,62,0.037033351860419964,0.04362920213565794,ok,,,,,,,,,,0,620,0.053850496144601454,0.07292249709964985,620.0,0.9253613861527675,0.24663422455395184,620.0
d3_rainbow_trout,pca_svm,classification,620,macro_f1,maximize,0.613914230930801,0.1977752926798083,62,0.5975246635895877,0.6304418790918466,ok,0.9701561699948797,0.08545378196057228,620.0,0.9998837868480724,0.0009001832040504757,60.0,0.9758708228374959,0.07026696684331256,620.0,60,560,,,,,,
d3_rainbow_trout,pca_svm,regression,620,mae,minimize,0.11416648345549754,0.06695034502864448,62,0.10940798221670583,0.11910968233229147,ok,,,,,,,,,,0,620,0.14132379013117846,0.09460724325421574,620.0,0.6541260102767477,2.0467222775689717,620.0
d3_rainbow_trout,random_forest,classification,620,macro_f1,maximize,0.6293293467483028,0.201559540392522,62,0.6118382984639056,0.6475680336785189,ok,0.9855913978494623,0.0652188537215131,620.0,1.0,0.0,60.0,0.9859194645600176,0.06516578828307763,620.0,60,560,,,,,,
d3_rainbow_trout,random_forest,regression,620,mae,minimize,0.014767572451205234,0.05945016309187787,62,0.010574739894146572,0.019425564527045466,ok,,,,,,,,,,0,620,0.0273797173005097,0.09126611835847677,620.0,0.9433014648361112,0.21715697247311294,620.0
d3_rainbow_trout,svm_rbf,classification,620,macro_f1,maximize,0.6281430629568949,0.19692881580342886,62,0.6109806089420268,0.6456503088273312,ok,0.9868386806944324,0.050530795944130506,620.0,1.0,0.0,60.0,0.9877112747057203,0.04868448874176986,620.0,60,560,,,,,,
d3_rainbow_trout,svm_rbf,regression,620,mae,minimize,0.08894241103177022,0.06334640562674058,62,0.08481528099250846,0.09318772274084852,ok,,,,,,,,,,0,620,0.11419351668421308,0.10472599075274672,620.0,0.8814135707687246,0.33728687146325975,620.0
d3_rainbow_trout,tcn,classification,620,macro_f1,maximize,0.6259632167564123,0.19759636566858158,62,0.6089328029807347,0.6434131064750823,ok,0.9846991807475679,0.05864853585602298,620.0,1.0,0.0,60.0,0.986038086504891,0.05546354619186509,620.0,60,560,,,,,,
d3_rainbow_trout,tcn,regression,620,mae,minimize,0.08716580210452338,0.06576019794525645,62,0.08242197198491441,0.0920844064807436,ok,,,,,,,,,,0,620,0.11772648664365136,0.09765261367284318,620.0,0.8827219011527038,0.3851480031908116,620.0
d3_rainbow_trout,xgboost,classification,620,macro_f1,maximize,0.6274624085719568,0.19799242107062626,62,0.6104311139791857,0.6452710366713957,ok,0.9852227342549923,0.06746543958855797,620.0,1.0,0.0,60.0,0.986305683563748,0.0651158158959013,620.0,60,560,,,,,,
d3_rainbow_trout,xgboost,regression,620,mae,minimize,0.019280850478478693,0.06454105251740379,62,0.01466678028529271,0.02437357783696885,ok,,,,,,,,,,0,620,0.04015811882489045,0.1152647119143169,620.0,0.9241422823598016,0.24549182781019624,620.0
