workers,runs_per_worker,total_runs,wall_clock_s,runs_per_minute,per_run_latency_s_mean,per_run_latency_s_std,n_failures,torch_num_threads,model_subset
1,2,2,21.363057930022478,5.617173365024608,21.363031262066215,0.0,0,1,"svm_rbf,random_forest,gru,esn"
4,2,8,22.59149951301515,21.24692961277174,21.455805143807083,0.6199046476784744,0,1,"svm_rbf,random_forest,gru,esn"
8,2,16,21.716110797133297,44.206810739183,20.599092390213627,0.4106842974060773,0,1,"svm_rbf,random_forest,gru,esn"
16,2,32,26.427647416945547,72.6511887232492,25.026975478598615,0.3565306167890434,0,1,"svm_rbf,random_forest,gru,esn"
32,2,64,47.863306876737624,80.22847251004099,46.38316412293352,0.8933342972566565,0,1,"svm_rbf,random_forest,gru,esn"
