experiment,dataset,model,task,window_length,protocol_version,evidence_class,protocol_compliant,status,cpu_seconds_mean,cpu_seconds_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std,auroc_n_classes_scored_mean,auroc_n_classes_scored_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,r2_mean,r2_std,rmse_mean,rmse_std,n_seeds,n_runs,n_specimen_evaluations,n_distinct_specimens,n_auroc_defined,mean_duration_s,mean_cpu_seconds
e9_size_d2_n500,d2_beef_uncontrolled,R0,classification,16,1.4.0,real,True,ok,0.0,0.0,0.4474592074592074,0.1956394022923838,0.6741190582434995,0.03875375036019974,4.0,0.0,0.3921668862538428,0.14076817351119353,0.30146666158982705,0.2010941406151964,,,,,,,1,5,5,5,5,3.9686938575468957,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R0,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,3.598088681987188,4.503510211201942,-42.15675936287697,72.91008083711088,3.8198024745404986,4.615109393488167,1,5,5,5,0,2.7781792847439646,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R1,classification,16,1.4.0,real,True,ok,0.0,0.0,0.4424242424242424,0.19462403808418557,0.6869262724128827,0.02904263021689691,4.0,0.0,0.3878788610745133,0.13886022882301285,0.2987523038027223,0.19815154246777153,,,,,,,1,5,5,5,5,3.5071559327654542,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R1,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,3.480660689027226,4.232949134129218,-37.68360778960928,61.734880977793395,3.693007522497023,4.333272231976907,1,5,5,5,0,3.4350745094008746,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R2,classification,16,1.4.0,real,True,ok,0.0,0.0,0.40764568764568765,0.20686029681786205,0.6667398884677291,0.03098305432465033,4.0,0.0,0.36032125603864734,0.14736047483010914,0.267550033087572,0.21279698844523304,,,,,,,1,5,5,5,5,3.2602253941819073,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R2,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,3.705378883744429,4.653041791564757,-45.06222031006252,78.47164040681982,3.935719372730847,4.771494250552472,1,5,5,5,0,3.9956908988766373,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R3,classification,16,1.4.0,real,True,ok,0.0,0.0,0.3939393939393939,0.2003382255360396,0.6578450723259787,0.050238924352622435,4.0,0.0,0.3430240813936466,0.13586246890612536,0.25026452665673027,0.1946385193151896,,,,,,,1,5,5,5,5,3.32212100783363,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R3,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,3.414371126846427,4.023182390775235,-33.80548302986211,50.4135535052661,3.6075639323089965,4.080874565770948,1,5,5,5,0,3.122727660741657,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R4,classification,16,1.4.0,real,True,ok,0.0,0.0,0.39925407925407924,0.20690074383850046,0.6500843733435586,0.06477885129133258,4.0,0.0,0.3531541501976284,0.1485749519721907,0.2652299936929067,0.21128168884000975,,,,,,,1,5,5,5,5,6.375603452976793,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R4,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,3.3583215479113493,4.294855606217713,-38.95178046387751,71.9139804974988,3.60974825251963,4.458644245043526,1,5,5,5,0,6.645530514698476,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R5,classification,16,1.4.0,real,True,ok,0.0,0.0,0.44736596736596734,0.19194260746963998,0.6633628351767744,0.019299753287149495,4.0,0.0,0.3910416483677353,0.13813419312569777,0.29778840426444886,0.19645824413112073,,,,,,,1,5,5,5,5,3.5156708870083095,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R5,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,3.5085012138257574,4.345552487618696,-40.087391571441984,67.19756433792486,3.7806341283565836,4.473155299740603,1,5,5,5,0,4.464285284280777,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R6,classification,16,1.4.0,real,True,ok,0.0,0.0,0.4387878787878788,0.19156199280547662,0.6281731176129929,0.10369842533623778,4.0,0.0,0.3878369199238764,0.14331739974054097,0.29872405163366833,0.2032229876799157,,,,,,,1,5,5,5,5,36.03262249296531,0.0
e9_size_d2_n500,d2_beef_uncontrolled,R6,regression,16,1.4.0,real,True,ok,0.0,0.0,,,,,,,,,,,3.9638304135496867,5.463983529454799,-59.93353895787949,115.53541762327232,4.222365738311781,5.690240188676511,1,5,5,5,0,34.7097232199274,0.0
